KILLED_ENEMY,HP_1,HP_2,HP_3,VELOCITY_1,VELOCITY_2,VELOCITY_3,GEN_TIME,,,N1,N2,N3,N4,N5,N6
10,1,10,30,-0.35,-0.3,-0.2,0.43,,,-0.35,-0.42,-0.49,-0.56,-0.63,-0.7
20,1,10,30,-0.35,-0.3,-0.2,0.43,,,V1,V2,V3,V4,V5,
30,1,10,30,-0.35,-0.3,-0.2,0.43,,,-0.3,-0.36,-0.42,-0.48,-0.54,
40,1,10,30,-0.35,-0.3,-0.2,0.42,,,L1,L2,L3,L4,,
50,1,10,30,-0.35,-0.3,-0.2,0.42,,,-0.19,-0.2,-0.24,-0.28,,
60,1,10,30,-0.4,-0.35,-0.2,0.42,,,,,,,,
70,1,10,30,-0.4,-0.35,-0.2,0.41,,,,,,,,
80,1,10,30,-0.4,-0.35,-0.2,0.41,,,,,,,,
90,1,10,30,-0.4,-0.35,-0.2,0.41,,,,,,,,
100,1,10,30,-0.4,-0.35,-0.2,0.4,,,,,,,,
110,1,10,30,-0.4,-0.35,-0.25,0.4,,,,,,,,
120,1,10,30,-0.4,-0.35,-0.25,0.4,,,,,,,,
130,1,10,30,-0.4,-0.35,-0.25,0.39,,,,,,,,
140,1,10,30,-0.4,-0.35,-0.25,0.39,,,,,,,,
150,1,10,30,-0.4,-0.35,-0.25,0.39,,,,,,,,
160,1,10,30,-0.4,-0.35,-0.25,0.38,,,,,,,,
170,1,10,30,-0.4,-0.35,-0.25,0.38,,,,,,,,
180,1,10,30,-0.4,-0.35,-0.25,0.38,,,,,,,,
190,1,10,30,-0.4,-0.35,-0.25,0.37,,,,,,,,
200,1,10,30,-0.45,-0.4,-0.25,0.37,,,,,,,,
210,1,10,30,-0.45,-0.4,-0.25,0.37,,,,,,,,
220,1,10,30,-0.45,-0.4,-0.3,0.36,,,,,,,,
230,1,10,30,-0.45,-0.4,-0.3,0.36,,,,,,,,
240,1,10,30,-0.45,-0.4,-0.3,0.36,,,,,,,,
250,1,10,30,-0.45,-0.4,-0.3,0.35,,,,,,,,
260,1,10,30,-0.45,-0.4,-0.3,0.35,,,,,,,,
270,1,10,30,-0.45,-0.4,-0.3,0.35,,,,,,,,
280,1,10,30,-0.45,-0.4,-0.3,0.34,,,,,,,,
290,1,10,30,-0.45,-0.4,-0.3,0.34,,,,,,,,
300,1,10,30,-0.45,-0.4,-0.3,0.34,,,,,,,,
310,1,10,30,-0.45,-0.4,-0.3,0.33,,,,,,,,
320,1,10,30,-0.45,-0.4,-0.35,0.33,,,,,,,,
330,1,10,30,-0.45,-0.4,-0.35,0.33,,,,,,,,
340,1,10,30,-0.5,-0.45,-0.35,0.32,,,,,,,,
350,1,10,30,-0.5,-0.45,-0.35,0.32,,,,,,,,
360,1,10,30,-0.5,-0.45,-0.35,0.32,,,,,,,,
370,1,10,30,-0.5,-0.45,-0.35,0.31,,,,,,,,
380,1,10,30,-0.5,-0.45,-0.35,0.31,,,,,,,,
390,1,10,30,-0.5,-0.45,-0.35,0.31,,,,,,,,
400,1,10,30,-0.5,-0.45,-0.35,0.3,,,,,,,,
410,1,10,30,-0.5,-0.45,-0.35,0.3,,,,,,,,
420,1,10,30,-0.5,-0.45,-0.35,0.3,,,,,,,,
430,1,10,30,-0.5,-0.45,-0.35,0.29,,,,,,,,
440,1,10,30,-0.55,-0.5,-0.35,0.29,,,,,,,,
450,1,10,30,-0.55,-0.5,-0.35,0.29,,,,,,,,
460,1,10,30,-0.55,-0.5,-0.35,0.28,,,,,,,,
470,1,10,30,-0.55,-0.5,-0.35,0.28,,,,,,,,
480,1,10,30,-0.55,-0.5,-0.35,0.28,,,,,,,,
490,1,10,30,-0.55,-0.5,-0.35,0.27,,,,,,,,
500,1,10,30,-0.55,-0.5,-0.35,0.27,,,,,,,,
510,1,10,30,-0.55,-0.5,-0.35,0.27,,,,,,,,
520,1,10,30,-0.55,-0.5,-0.35,0.26,,,,,,,,
530,1,10,30,-0.55,-0.5,-0.35,0.26,,,,,,,,
540,1,10,30,-0.6,-0.55,-0.35,0.26,,,,,,,,
550,1,10,30,-0.6,-0.55,-0.35,0.25,,,,,,,,
560,1,10,30,-0.6,-0.55,-0.4,0.25,,,,,,,,
570,1,10,30,-0.6,-0.55,-0.4,0.25,,,,,,,,
580,1,10,30,-0.6,-0.55,-0.4,0.24,,,,,,,,
590,1,10,30,-0.6,-0.55,-0.4,0.24,,,,,,,,
600,1,10,30,-0.6,-0.55,-0.4,0.24,,,,,,,,
610,1,10,30,-0.65,-0.6,-0.4,0.23,,,,,,,,
620,1,10,30,-0.65,-0.6,-0.4,0.23,,,,,,,,
630,1,10,30,-0.65,-0.6,-0.4,0.23,,,,,,,,
640,1,10,30,-0.65,-0.6,-0.4,0.22,,,,,,,,
650,1,10,30,-0.7,-0.65,-0.4,0.22,,,,,,,,
660,1,10,30,-0.7,-0.65,-0.4,0.22,,,,,,,,
670,1,10,30,-0.7,-0.65,-0.4,0.24,,,,,,,,
680,1,10,30,-0.7,-0.65,-0.4,0.21,,,,,,,,
690,1,10,30,-0.75,-0.7,-0.4,0.21,,,,,,,,
700,1,10,30,-0.75,-0.7,-0.4,0.21,,,,,,,,
710,1,10,30,-0.75,-0.7,-0.4,0.2,,,,,,,,
